name,price,product_link,shipping_price,total_price
New Balance OMN1S Sun Rise Pack Men Athletic Sneaker Basketball Shoe Kawhi #XA2,100.00,https://www.ebay.com/itm/304106680582?_trkparms=ispr%3D1&hash=item46ce2bb106:g:xR4AAOSwA7thGBFb&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSsTrsimSq2LqQEOMrEDGZBVcJBVl1euvv3gfc%252BN9JH0VW5qZtYMcsRUef0UGWC6bOR%252BNUENAGdhX5zVWVm1nzPBAXRNYL34IeDvvW5ubrGskCKlgcxn48vfdTbC%252BUz3vtJzh9YRKpKUk7lFbt3J0pTmlqxn3%252Bm15YTqRX2qzLm%252F6a8xItSCUYwx4jZqln7e8I8chNOgY4mJ1YfaiYQoJ882%252BF1zFCuYY%252FFUp5cFffcR%252BubUUSDnB78mPLqq3WbNwGX38wNdTm1JfdjJmZWptamFRGSs7rqXBPdUArvLgOvi%252B0RvMCIDgCigh8D%252BXTUtl1DgxOlKVnu7mnYboDjn17gisqMQQNJW4asSTAYRAsgnusgUNfR%252B8929epxIcUHjSW4z9PnCHhYe7K23KEw1fD3hoKj7dTWWQBGhuTbUAu%252BbJDyD5Wa51qYR5KKNon6ZLaWmqus41uqZuWJjawODbF9PgkuOpZHzdg9y1TAiGr6w0oA0mBA0Ckkk36yIPOgxN8QVhj0mj1hJjc7z29FEyBluaDH0ovFPXN%252FYKqUbeWz0DlARDPo94sRvyRGdTjxbPBpTwoT%252BEI7nRpsj1FFrY27LNzmXlbVObSFg4UNmsg3p7kDxdS%252FtQtPfBUkHsdqTlh0Hz6DZFzp2MERyNrr3YvMx7DhCgrF50%252FhTLUJrcio%252BnNw1bjDXaNuAzu0jnbFiypl5m9PVZ335sFOSRZUbZvB5X%252FNXYcU9KHuMtaRw0rA27EdDf3MaOyYXtWwMrw23jsaO%252FUdyYZg0Gquw8i87bcBE5QILVDa%252B5bHX6LR%252BGW%252FY8hBZO40c7Vll6kyJPvckxG%7Cclp%3A2499334%7Ctkp%3ABFBM7pyf9-Ff&var=603239068242,32.21,132.21
New Balance 327 Low Mens Casual Shoes Black Yellow Blue MS327BC1 NEW Multi Sz,104.99,https://www.ebay.com/itm/185202860022?_trkparms=ispr%3D1&hash=item2b1ef35ff6:g:QtAAAOSwubthruFZ&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSiVOxdKebFepbzBLdar3mpU3POIm46HKzR7fj2WmyuBfjL1d2g6f5nhURXmuRjj%252F%252BBPuKesjqtvdl9wHjwAjT94nkojVriDbKyyuPwkMoPOw10jN%252BbLrP8SFdqS01WmdFvbE1Zr81sJvfE06vEcS1zFl5BGyQT%252BEXN7ku6rIAauHedoU9Euskc8BYqfBMdT1arv3yEiMrj4P7veAs5lpNl3S6IkpFYhgeXVsmEnttpQtyaOLKMBDfyihZdrPGwhSW2YJELClSwkidfUGu3LJVWRVei5KHPvjYXiI28eHUJsEkd1WKUEKyjIy9PQpL0C0GpKknlsNdGmvNi3OqXQ8Oc2JGUsXVUmlNTary2Nvw%252BUS9BwxEgrOVuVU8bkZ6gNDp0a0UhJhDHT0tCZRuvtvKFLV2PTxJd%252FJBd70le8HuMCfqfwByNSL7jwI532L3ds9p2ONYO5%252Fq5tYtQ%252BmZTs8qkG5QesDp8PReGItU1gqUpVYnwWyjzSycAa3t%252BUS7y2%252Btrd%252BSC%252F%252F8L9qkDH2y3NiqUITNXem7kcv9BPYWKQMRbTDBNYDJWLNgPcb3zZH7gtCW9THnPkwiIT%252BxN51dUo%252FxTEjwB2m6AwvhD2BwxZ5wz1bs9BVss83S3vQhm9RxFIf3Skm2WjnssA7WL5%252FaXSzIp%252Fsxf67EmIBxvXUrLBMpH%252B8m8uqaHQP%252BRsAJzP%252FXHLOyJaxcQ%252FDt4MNSuO9ctmeHanb6GK2pA1zYL0D8U5i%252FYqOBdtGKjnMA2ALWODPU3HHtt%252Bo2L0me1dNxG%252FU0x4DxZ0Xmi2B2S9sJpwLfoyynRvYXffX7w%252Bjuscyw6vUqvEiw%7Cclp%3A2499334%7Ctkp%3ABFBM7pyf9-Ff&var=692959173274,32.31,137.3
New Balance Men's X Racer T Trail Shoes Size 11 $110 MSXRCTAB,62.97,https://www.ebay.com/itm/334240192192?_trkparms=ispr%3D1&hash=item4dd24496c0:g:lKcAAOSwJ7xhqFgD&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSJQp8uqlJ8r7SZitI9gA%252F1bu2MBsdndG7OND4%252FOcQaRyfDuP%252BUJbz4RMC8E4%252FlZV9lVcrirxcUQWarq5c0z7Qw1%252BepqMiONcR8xleqtLZ3htc4kAn%252Bh1kP7k591meiun2E75pojWWpRcPJDXHdA1YWStnHbKLSogbABgeQoD%252B88d0f4%252BZLbxGceU7gBUggbWAqEzgxPJy3skrTQE0iS6G1AsQ2yTCzYmGQmpJCPuTCHHvk3COIIjyDa%252F35%252FCcKUoTUP1%252BfZt5aVp9ES29BfoUzb%252BC4boMPlg1tWtg8sWfTCRGinS5wR0Nq%252FFb%252BrRdHU8MO%252FbLxz%252Ffu5j3kZEbMrkR0m8xAJOSrkvkTVOVWpL64CBhlPnykWCYVpfEM9fh6WxeAk3bOrZYA3mReKVVnYxtt7hbdJ2P4pPtqacQpXwZxhKyStZVqHWz%252FIkRSqghQhfFo1CSkmNuuYElkF4wZnNj0PRoEjStoyGMLKlDnnPXODjS1s%252BHEVh6Kexd%252B2o7uz6VXDj28pOPRzi9RLgMMkrsTEOBmTjVnuI6Xn%252FREfEp2YFT3j2W7sS0vI4z8xPs1vkVCCxKQRY5Nyw%252F5RpZ4tQ8vFaWwT7TrTR1Zj6nRLuk9zakeJLfJKg7KkGQ%252BPIKortwKBWZTT0WOrEpmRAzlevQGxUsZpdjnqm%252BoesGu43etuz5ysKA55bfb8aVrd1S6KOgEiKaVcU3B8%252Bikd9x32xyDDXNLGyHvbIbp9Atm3PgOnH%252F71LcFBStP2MHTP9%252BcwKaUdB%252FjGeTrShR8beEb%252Bj6KjeYNHseILJXUayFfanu27th2jnV2Xq278rzN2uc%252Fn8O%7Cclp%3A2499334%7Ctkp%3ABFBM7pyf9-Ff,48.28,111.25
New Balance 1080v10 Phantom/Neo Flame Men's Runner Shoes - NEW - Size US 11,120.00,https://www.ebay.com/itm/115147011589?_trkparms=ispr%3D1&hash=item1acf4bf605:g:gEUAAOSwWhBhJumM&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSD7krDaPk%252BwD1W%252Fj2C4MT37K66AhWFJxHaXhfnMQK14Qq4da3ivw5TkzqaUzOI8sMQYawlcRzCKuCltOQFePUyGnNu2fT%252B6uk00ScWJwLCxBZJkeJL5AsqaF%252FtjFdk4ZuJCelYcQ4rU3Sx1zHUi6GtX7WUc3JnxPkgNjJ%252FrTdvV9OLbCyzFfWmLjPEFN%252FWyYXCo%252BkOociTpjdr5HHqpcMk3nquQS9affq%252FcRbyNdt9SfH1acq3FjHu1l2IH6GiwZ9Lj9XezivftO1ZqSE9n1Gv7tKErbsNMJ9rDRZdiWJ%252Bo8btmjs%252BJIAx9ndplKdBnWdBfDPramT%252B5pL9JbfLU9J7G6%252FrdlPmjm0s7pLi9%252FRoKOLadbgaARyKIrUIh9sd%252BPuHsIVCj099jmmAdhzNza8IM8%252Fw%252FoZAAk1o3%252B63jKPu8BAjYknF%252FU2Mph%252BZ%252FRB0aKAufwqKggzuxlI1eOVOc1LDHiN1%252FBqdC7yuqltqSMrcTPkt%252B%252BzoQwfCJxZwued2wInD3ygKfS57%252FaP69pyiDQtzE4tb7%252FcWjAOU2xrWsF2abFTQqeCfe4WjEbXJY%252BWtGq%252F7VvF09psSr%252BMDao1%252FbbIv0Odijw8XAiiTQqjVVjDrDksCVH6kazZRIXAurXazJjN9TNb1Xp2uiELSFMAptfmLfPkx%252FX4bNvwLor6uvrgpnnW2IQe837Hbs3F4DwUbNqK5s3FB2gypKfgmifP9ra43NFYb7fOYsp6abL8X1UTQAsTSby8VfLmf9SvRwtDBB9TTEzyWlmmrPBapfN%252FnbZ%252BR4VgTj0m8ofYGUBaVapCErJFWoKxYldbNYJ3n3QI8bru%7Cclp%3A2499334%7Ctkp%3ABFBM8Jyf9-Ff,42.64,162.64
"New Balance Breeze NBG1801SL Men's Spikeless Mesh Golf Shoe, Brand New",51.39,https://www.ebay.com/itm/373835080208?hash=item570a4ea210:g:8NoAAOSwmnNhwkp-&var=642867153030,34.68,86.07
New Balance Men's 327 Sneakers Shoes Size 11 $100 MS327PA Denim Eclipse ,74.95,https://www.ebay.com/p/4045625296?iid=393755085850,48.51,123.46000000000001
New Balance X-Racer Leather Tactical Utility 'Black' Men's Shoes | MSXRCTUA,110.99,https://www.ebay.com/itm/384647219152?hash=item598ec2c7d0:g:trkAAOSwVCJhzroL&var=652647712049,53.16,164.14999999999998
New Balance 574 Classic Multicolor ML574UD2 Men's Size 11,69.99,https://www.ebay.com/itm/134012817679?hash=item1f33c9510f:g:fssAAOSw50Jh3xyV,35.03,105.02
Men’s New Balance FuelCell Rebel V2 Sz 11,105.00,https://www.ebay.com/itm/304344435303?hash=item46dc578a67:g:98gAAOSwn1Rh~E4j,53.25,158.25
New Balance OMN1S Low Kawhi Leonard Berry Lime Men Sneaker Basketball Shoe #LFC,100.00,https://www.ebay.com/itm/304114183219?hash=item46ce9e2c33:g:Ca4AAOSw6k5hIDL9&var=603237988626,32.21,132.21
New Balance 515 V3 SNEAKER - MEN'S,118.72,https://www.ebay.com/itm/363726922066?hash=item54afd06152:g:FxkAAOSw62thPikd&var=632946346262,49.19,167.91
New Balance XC-72 Moonbeam size 11 Off White Black Mens Sneakers NEW | UXC72DB1,144.95,https://www.ebay.com/itm/194757228512?hash=item2d586f77e0:g:mjQAAOSwig1h6zLP,43.11,188.06
New Balance NB Fresh Foam Links SL Golf Shoes 4000GR Grey Men's New,99.95,https://www.ebay.com/itm/362867665769?hash=item547c992b69:g:DS0AAOSwlj9eC0u1&var=632653592570,48.83,148.78
New Balance Kawhi Jolly Rancher Men Athletic Sneaker Basketball Shoe Trainer CA1,110.00,https://www.ebay.com/itm/304114177189?_trkparms=ispr%3D1&hash=item46ce9e14a5:g:uwkAAOSwfFVhIDKn&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSsTrsimSq2LqQEOMrEDGZBYDIBz43EaYEvX45hrf62v6ghCVOFeXR%252B9lT5bWRI3%252FnjJrifpgXVPssv5VHgCxaQeuhGh5jhgI3LGGMpz5gW1hcc5BkWId7nYW88jfvLM707NReJcI%252Bhg%252FMUwLRfiGA9QZ0auwCqwZID4qOYRRT%252FObanSiB0URBJqX0kVg8JbRtiRzDvYwTdbUjel1LjyawTYRm0DfqMTAZs8LcSvTRZKi3fttCWsv7gZ61gHObzoHjPT00YnZZnwy3pXnGeiCFwvGsQP80yiTc2IhzD7dC28wz0NMcgNc5B%252F3ZYlg4NE%252B5sJ0FKjk%252Bt5O2R48btM6qWGHCmTqtdXcRg0e0tZRtII0aeqclJ70JzSEDcgDPjxwUfH0Ali%252BlVCsp4SkOR3hvCrlga739HjJ3Ty1Bn85R3%252BKUzsXhjfmokR2jCWoYuzSB5fOAJ%252B5QDlpchCxcv7vgAPRL9ADXb%252FaYpMBanYi55Mb2nenHO4BlVBfrm8lHOVsmzN9ErkA2MPxRIrSg9UBToU0mVSGvkN73tUeA%252BRySrHuCHGpII775JEumQbmBozJW3wAoKo%252F6DrTMMoqIX04XeZWBpxFS7zAklQFb1RRdL88Tumjwlsp%252FzdVifhN6FrCl%252BPpZzZ1F3iHw3Bgbda%252BS3WhQ%252FfjJihr2qpmLh6KEfH3P%252FX6a%252BX%252FAfWywHfZ5K5qw7Ign7EqQnpKc2aGQ6mwl%252BjsNWSt3NvGpGJoBKoaMUOUr9UwI4IyFwq68P6AsRys0PlPQ1LbQ3oCVgPswGSi4NccQbO3TisjUbCJ%252Ft4LHlKGGAjXKVog7HxTDD9s9QHDO%7Cclp%3A2499334%7Ctkp%3ABFBM8Jyf9-Ff&var=603237985183,32.41,142.41
